Year,[0],[1-4],[10-14],[15-19],[20-24],[25-29],[30-34],[35-39],[40-44],[45-49],[5-9],[50-54],[55-59],[60-64],[65-69],[70-74],[75-79],[80-84],[85+],[All]
2000,0.58141609,11.38782888,22.5,38.16264838,29.6663661,20.80764663,13.84716733,9.82014388,6.32151776,4.14784278,23.0863818,2.6958183,1.77047522,1.17901488,0.77803884,0.6100898,0.51051229,0.38318929,0.19387059,1.78359299
2001,0.50783517,11.04366556,22.46376812,38.03024714,29.22928812,20.18011092,13.61622359,9.54600894,6.47876011,4.1352261,21.62948594,2.70923173,1.74849118,1.12765199,0.7815656,0.62161692,0.53704631,0.39619608,0.18165946,1.79306206
2002,0.43518585,11.13627007,21.78121975,40.17520996,29.94696891,20.54123281,14.28876731,9.73491385,6.48109978,4.29895484,21.07355865,2.80315615,1.73681794,1.27265212,0.82919967,0.65279164,0.52523172,0.3989256,0.18558869,1.83912741
2003,0.52096343,10.27190332,22.90433925,38.72747334,28.42837831,19.99452055,13.86117137,9.66965203,6.67075768,4.2239648,20.9799862,2.83749797,1.88706123,1.21595195,0.81799825,0.64228255,0.50894106,0.40255241,0.19437321,1.81984309
2004,0.50114548,10.95088819,23.8469336,37.79366701,29.04387522,20.37717756,14.30963479,10.00187829,6.4959377,4.40797156,20.81024931,2.8736093,1.88753993,1.24639458,0.90066518,0.62104163,0.53098029,0.39680415,0.18488388,1.85621962
2005,0.49578059,10.4079058,20.90305445,35.59074655,28.76625591,19.87939493,14.75600483,10.02864418,6.66541741,4.35861582,19.9506521,2.88438457,1.98779397,1.29343877,0.91618477,0.65054241,0.50505379,0.36274642,0.17748223,1.83050199
2006,0.49076314,10.34333837,21.08963093,35.34463935,28.32285214,19.5473251,14.51627527,10.20919971,6.72435201,4.52389363,19.19561243,2.88847918,1.9224699,1.2962239,0.89071181,0.62507447,0.49073943,0.37415693,0.17179634,1.844785
2007,0.41865413,9.24744898,20.60535506,34.80941283,27.77670372,19.19090605,13.66407982,9.98672753,6.60689004,4.44630225,17.41054961,2.8852177,1.91278486,1.18130856,0.84739952,0.65337515,0.49265685,0.35802082,0.17066855,1.7796563
2008,0.34915206,7.37843552,17.37059384,30.23293302,25.2842201,17.99287982,12.7972451,9.00080364,6.37552144,4.23033701,15.70743405,2.65841924,1.76678445,1.21939136,0.76969201,0.62531805,0.44889863,0.31732161,0.15550074,1.58573033
2009,0.3541508,8.45826807,16.51814131,28.43417294,22.61181813,16.11014324,11.19113826,8.17997294,5.79597974,3.87954706,15.5362776,2.5,1.63491891,1.13351722,0.77431366,0.56522103,0.4210312,0.33986706,0.14497596,1.46590734
2010,0.30906873,8.04252369,15.94740391,26.84268427,22.43140611,15.60807484,11.38694744,8.24334438,5.6945171,3.74207389,15.62766866,2.41619424,1.73169756,1.1390761,0.77829816,0.52523765,0.45647904,0.32467717,0.1627639,1.4097991
2011,0.38774234,7.84267546,15.28813559,26.61884085,21.92628323,15.45790395,10.84311357,7.88266977,5.63244135,3.70427212,14.6878825,2.56692928,1.64203726,1.13157175,0.79390102,0.61242819,0.44807475,0.31586471,0.15369144,1.38547334
2012,0.29201405,8.65339023,14.65457083,26.40460592,22.62403182,15.93940549,11.43692529,8.50138828,5.85068198,3.81284773,14.6958012,2.71480574,1.77341621,1.19693514,0.83507713,0.6241845,0.4368675,0.32281946,0.15199172,1.41938812
2013,0.28583618,8.1366765,14.52111226,24.95780591,22.25086815,15.51101824,10.79198591,8.07303835,5.63326308,3.82745051,14.37989287,2.49975201,1.75511992,1.12343772,0.80602679,0.55560187,0.43416488,0.31981685,0.14663148,1.34578722
2014,0.26276115,7.70234987,13.41168337,25.82933445,21.48919552,15.11516534,10.54965943,7.67604433,5.28185069,3.59911406,14.93423844,2.657325,1.66952981,1.13808326,0.76648985,0.57256129,0.43924955,0.30663022,0.14644903,1.32724494
2015,0.27712641,8.52459016,14.12429379,25.2699784,21.18376994,15.14352665,10.22484522,7.97975618,5.60341724,3.90201469,14.90424646,2.80428998,1.81027514,1.20688611,0.86418495,0.56909692,0.42664555,0.3108068,0.15296016,1.37796161
2016,0.37994905,8.35599506,15.53269167,24.52830189,20.51647291,14.45680701,10.57487812,7.54315843,6.00729154,4.08020127,15.6626506,2.88517664,1.89212191,1.28928678,0.87977134,0.62013752,0.45812916,0.36430512,0.15319581,1.45671966
2017,0.402955,9.45876289,13.55299969,23.78284035,19.86848952,13.71834772,9.81245499,7.58245034,5.91910479,4.16451034,14.35853866,2.85703343,1.96054239,1.29628218,0.84849267,0.60947436,0.50179188,0.34973919,0.15967473,1.42143086
2018,0.37266502,7.72845953,11.69871795,22.6300578,20.36512592,14.03444885,10.0181627,7.44875987,5.60765147,4.22209548,14.93562232,2.81401304,1.97871561,1.29422601,0.87881996,0.62147047,0.46838335,0.33214508,0.14529468,1.37911845
2019,0.32981215,7.69858542,13.81163085,21.61240008,19.00271614,13.78249101,9.46319352,7.57026761,5.58086047,4.00225921,14.9592799,2.85244273,1.98102907,1.27861643,0.89736333,0.61929888,0.49166447,0.35617264,0.15450715,1.36049751
2020,0.37279134,8.10427883,14.32757105,21.07835152,17.96244371,12.88536824,9.37729836,6.8031031,5.15343296,3.55353194,14.61538462,2.52722058,1.7972144,1.15886383,0.75296683,0.49168883,0.37469456,0.25926354,0.11285489,1.23966783
2021,0.53212851,8.12368973,14.00952648,21.63795032,17.82329317,12.78590709,9.25040889,6.76382462,4.90253298,3.40476412,16.00166251,2.55748963,1.74638679,1.19117631,0.7982259,0.5545639,0.40648915,0.2885077,0.13977763,1.34910172
